,,,Colonna45,Colonna43,Colonna41,Colonna40,#,Pokémon,Colonna1,Colonna2,Colonna3,Colonna4,Colonna5,Colonna6,Colonna7,Colonna8,Colonna9,Colonna10,Colonna11,Colonna12,Colonna13,Colonna14,Colonna15,Colonna16,Colonna17,Colonna18,Colonna19,Colonna20,Colonna21,Colonna22,Colonna23,Colonna24,Colonna25,Colonna26,Colonna27,Colonna28,Colonna29,Colonna30,Colonna31,Colonna32,Colonna33,Colonna34,Colonna35,Colonna36,Colonna37,Colonna38,Colonna39
,,,,,,,703,Carbink,Moonblast,Power Gem,Rock Slide,Rock Throw,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,704,Goomy,Dragon Pulse,Muddy Water,Sludge Wave,Tackle,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,705,Sliggoo,Dragon Pulse,Muddy Water,Sludge Wave,Tackle,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,706,Goodra,Draco Meteor,Dragon Breath,Muddy Water,Power Whip,Sludge Wave,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,707,Klefki,Astonish,Draining Kiss,Flash Cannon,Foul Play,Play Rough,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,708,Phantump,Astonish,Foul Play,Seed Bomb,Shadow Ball,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,709,Trevenant,Foul Play,Seed Bomb,Shadow Ball,Shadow Claw,Sucker Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,710,Pumpkaboo,Astonish,Earthquake,Foul Play,Grass Knot,Razor Leaf,Shadow Sneak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,710,Pumpkaboo-Large,Astonish,Earthquake,Foul Play,Grass Knot,Razor Leaf,Shadow Sneak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,710,Pumpkaboo-Small,Astonish,Earthquake,Foul Play,Grass Knot,Razor Leaf,Shadow Sneak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,710,Pumpkaboo-Super,Astonish,Earthquake,Foul Play,Grass Knot,Razor Leaf,Shadow Sneak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,711,Gourgeist,Fire Blast,Foul Play,Hex,Razor Leaf,Seed Bomb,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,711,Gourgeist-Large,Fire Blast,Foul Play,Hex,Razor Leaf,Seed Bomb,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,711,Gourgeist-Small,Fire Blast,Foul Play,Hex,Razor Leaf,Seed Bomb,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,711,Gourgeist-Super,Fire Blast,Foul Play,Hex,Razor Leaf,Seed Bomb,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,712,Bergmite,Bite,Crunch,Icy Wind,Mirror Coat,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,713,Avalugg,Avalanche,Bite,Body Slam,Crunch,Earthquake,Ice Fang,Mirror Coat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,714,Noibat,Air Cutter,Bite,Dragon Pulse,Heat Wave,Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,715,Noivern,Air Slash,Bite,Draco Meteor,Heat Wave,Hurricane,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,716,Xerneas,Close Combat,Giga Impact,Megahorn,Moonblast,Tackle,Thunder,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,717,Yveltal,Dark Pulse,Focus Blast,Gust,Hurricane,Hyper Beam,Psychic,Snarl,Sucker Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,718,Zygarde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,718,Zygarde-10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,718,Zygarde-50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,718,Zygarde-Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,719,Diancie,Moonblast,Power Gem,Rock Slide,Rock Throw,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,719,Diancie-Mega,Moonblast,Power Gem,Rock Slide,Rock Throw,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,720,Hoopa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,720,Hoopa-Unbound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,720,Hoopa,Confusion,Astonish,Shadow Ball,Psybeam,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,720,Hoopa-Confined,Confusion,Astonish,Shadow Ball,Psybeam,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,720,Hoopa-Unbound,Confusion,Astonish,Shadow Ball,Dark Pulse,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,721,Volcanion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,721,Volcanion,Incinerate,Water Gun,Take Down,Hydro Pump,Overheat,Earth Power,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,808,Meltan,Flash Cannon,Thunder Shock,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,809,Melmetal,Flash Cannon,Hyper Beam,Rock Slide,Superpower,Thunder Shock,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,810,Grookey,Scratch,Razor Leaf,Energy Ball,Grass Knot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,811,Thwackey,Scratch,Razor Leaf,Energy Ball,Grass Knot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,812,Rillaboom,Scratch,Razor Leaf,Energy Ball,Grass Knot,Earth Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,813,Scorbunny,Tackle,Ember,Flame Charge,Flamethrower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,814,Raboot,Tackle,Ember,Flame Charge,Flamethrower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,815,Cinderace,Tackle,Ember,Flame Charge,Flamethrower,Focus Blast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,816,Sobble,Pound,Water Gun,Water Pulse,Surf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,817,Drizzile,Pound,Water Gun,Water Pulse,Surf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,818,Inteleon,Pound,Water Gun,Water Pulse,Surf,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,819,Skwovet,Tackle,Bite,Bullet Seed,Body Slam,Crunch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,820,Greedent,Tackle,Bite,Bullet Seed,Body Slam,Crunch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,821,Rookidee,Peck,Air Slash,Drill Peck,Brave Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,822,Corvisquire,Peck,Air Slash,Drill Peck,Brave Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,823,Corviknight,Steel Wing,Air Slash,Drill Peck,Brave Bird,Iron Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,824,Blipbug,Struggle Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,825,Dottler,Struggle Bug,Confusion,Bug Buzz,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,826,Orbeetle,Struggle Bug,Confusion,Bug Buzz,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,827,Nickit,Quick Attack,Snarl,Night Slash,Play Rough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,828,Thievul,Quick Attack,Snarl,Night Slash,Play Rough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,829,Gossifleur,Razor Leaf,Bullet Seed,Energy Ball,Grass Knot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,830,Eldegoss,Razor Leaf,Bullet Seed,Energy Ball,Grass Knot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,831,Wooloo,Tackle,Take Down,Wild Charge,Payback,Stomp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,832,Dubwool,Tackle,Take Down,Wild Charge,Payback,Body Slam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,833,Chewtle,Water Gun,Bite,Body Slam,Surf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,834,Drednaw,Waterfall,Bite,Body Slam,Surf,Rock Blast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,835,Yamper,Spark,Bite,Crunch,Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,836,Boltund,Spark,Bite,Crunch,Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,837,Rolycoly,Smack Down,Tackle,Rock Blast,Rock Slide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,838,Carkol,Smack Down,Incinerate,Rock Blast,Rock Slide,Flame Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,839,Coalossal,Smack Down,Incinerate,Rock Blast,Rock Slide,Flame Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,840,Applin,Astonish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,841,Flapple,Bullet Seed,Dragon Breath,Dragon Pulse,Fly,Outrage,Seed Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,842,Appletun,Bullet Seed,Astonish,Dragon Pulse,Energy Ball,Outrage,Seed Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,843,Silicobra,Mud Slap,Mud Shot,Dig,Bulldoze,Earth Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,844,Sandaconda,Mud Slap,Mud Shot,Dig,Bulldoze,Earth Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,845,Cramorant,Peck,Water Gun,Drill Peck,Fly,Hydro Pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,846,Arrokuda,Waterfall,Bite,Peck,Crunch,Aqua Jet,Close Combat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,847,Barraskewda,Waterfall,Bite,Peck,Crunch,Aqua Jet,Close Combat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,848,Toxel,Acid,Power Up Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,849,Toxtricity,Acid,Spark,Poison Jab,Acid Spray,Discharge,Wild Charge,Power Up Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,849,Toxtricity-Amped,Acid,Spark,Poison Jab,Acid Spray,Discharge,Wild Charge,Power Up Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,849,Toxtricity-Low Key,Acid,Spark,Poison Jab,Acid Spray,Discharge,Wild Charge,Power Up Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,850,Sizzlipede,Bug Bite,Ember,Heat Wave,Bug Buzz,Crunch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,851,Centiskorch,Bug Bite,Ember,Heat Wave,Bug Buzz,Crunch,Lunge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,852,Clobbopus,Rock Smash,Brick Break,Super Power,Ice Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,853,Grapploct,Rock Smash,Waterfall,Brick Break,Super Power,Ice Punch,Surf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,854,Sinistea,Astonish,Sucker Punch,Shadow Ball,Dark Pulse,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,854,Sinistea-Antique,Astonish,Sucker Punch,Shadow Ball,Dark Pulse,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,854,Sinistea-Phony,Astonish,Sucker Punch,Shadow Ball,Dark Pulse,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,855,Polteageist,Astonish,Sucker Punch,Hex,Shadow Ball,Dark Pulse,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,855,Polteageist-Antique,Astonish,Sucker Punch,Hex,Shadow Ball,Dark Pulse,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,855,Polteageist-Phony,Astonish,Sucker Punch,Hex,Shadow Ball,Dark Pulse,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,856,Hatenna,Confusion,Charm,Psybeam,Psychic,Dazzling Gleam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,857,Hattrem,Confusion,Charm,Psybeam,Psychic,Dazzling Gleam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,858,Hatterene,Confusion,Charm,Psycho Cut,Psybeam,Psychic,Dazzling Gleam,Power Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,859,Impidimp,Bite,Sucker Punch,Foul Play,Dark Pulse,Play Rough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,860,Morgrem,Bite,Sucker Punch,Foul Play,Dark Pulse,Play Rough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,861,Grimmsnarl,Bite,Sucker Punch,Low Kick,Foul Play,Dark Pulse,Play Rough,Power Up Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,862,Obstagoon,Counter,Cross Chop,Gunk Shot,Hyper Beam,Lick,Night Slash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,863,Perrserker,Close Combat,Foul Play,Iron Head,Metal Claw,Play Rough,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,864,Cursola,Astonish,Hex,Rock Blast,Brine,Night Shade,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,865,Sirfetch'd,Brave Bird,Close Combat,Counter,Fury Cutter,Leaf Blade,Night Slash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,866,Mr. Rime,Confusion,Zen Headbutt,Ice Shard,Psybeam,Psychic,Ice Punch,Icy Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,867,Runerigus,Astonish,Rock Tomb,Sand Tomb,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,868,Milcery,Tackle,Charm,Dazzling Gleam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,869,Alcremie,Tackle,Charm,Dazzling Gleam,Psyshock,Energy Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,870,Falinks,Rock Smash,Counter,Super Power,Brick Break,Megahorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,871,Pincurchin,Thunder Shock,Water Gun,Poison Jab,Discharge,Thunderbolt,Bubble Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,872,Snom,Powder Snow,Struggle Bug,Icy Wind,Bug Buzz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,873,Frosmoth,Powder Snow,Bug Bite,Icy Wind,Bug Buzz,Ice Beam,Hurricane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,874,Stonjourner,Rock Throw,Stone Edge,Rock Slide,Stomp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,875,Eiscue,Powder Snow,Icy Wind,Weather Ball Ice,Surf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,875,Eiscue Ice,Powder Snow,Icy Wind,Weather Ball Ice,Surf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,875,Eiscue Noice,Powder Snow,Icy Wind,Weather Ball Ice,Surf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,876,Indeedee,Extrasensory,Psybeam,Psychic,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,876,Indeedee-Female,Extrasensory,Psybeam,Psychic,Energy Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,876,Indeedee-Male,Extrasensory,Psybeam,Psychic,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,877,Morpeko,Thunder Shock,Bite,Crunch,Payback,Thunderbolt,Wild Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,877,Morpeko-Full Belly,Thunder Shock,Bite,Crunch,Payback,Thunderbolt,Wild Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,877,Morpeko-Hangry,Thunder Shock,Bite,Crunch,Payback,Thunderbolt,Wild Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,878,Cufant,Tackle,Rock Smash,Iron Head,Dig,Play Rough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,879,Copperajah,Tackle,Rock Smash,Iron Head,Dig,Play Rough,Heavy Slam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,880,Dracozolt,Dragon Tail,Thunder Shock,Discharge,Dragon Pulse,Ancient Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,881,Arctozolt,Powder Snow,Thunder Shock,Discharge,Avalanche,Ancient Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,882,Dracovish,Dragon Breath,Water Gun,Brine,Dragon Pulse,Ancient Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,883,Arctovish,Powder Snow,Water Gun,Brine,Avalanche,Ancient Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,884,Duraludon,Dragon Tail,Metal Claw,Flash Cannon,Dragon Claw,Hyper Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,885,Dreepy,Astonish,Quick Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,886,Drakloak,Astonish,Dragon Tail,Dragon Pulse,Shadow Ball,Outrage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,887,Dragapult,Hex,Dragon Tail,Dragon Pulse,Shadow Ball,Outrage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,888,Zacian,Metal Claw,Snarl,Quick Attack,Fire Fang,Play Rough,Iron Head,Wild Charge,Close Combat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,888,Zacian-Crowned Sword,Metal Claw,Snarl,Quick Attack,Fire Fang,Play Rough,Iron Head,Wild Charge,Close Combat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,888,Zacian-Hero,Metal Claw,Snarl,Quick Attack,Fire Fang,Play Rough,Iron Head,Wild Charge,Close Combat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,889,Zamazenta,Metal Claw,Snarl,Quick Attack,Ice Fang,Moonblast,Iron Head,Crunch,Close Combat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,889,Zamazenta-Crowned Shield,Metal Claw,Snarl,Quick Attack,Ice Fang,Moonblast,Iron Head,Crunch,Close Combat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,889,Zamazenta-Hero,Metal Claw,Snarl,Quick Attack,Ice Fang,Moonblast,Iron Head,Crunch,Close Combat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,890,Eternatus,Dragon Tail,Poison Jab,Cross Poison,Dragon Pulse,Flamethrower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,890,Eternatus Eternamax,Dragon Tail,Poison Jab,Cross Poison,Dragon Pulse,Flamethrower,Hyper Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,891,Kubfu,Rock Smash,Counter,Brick Break,Dynamic Punch,Close Combat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,892,Urshifu,Rock Smash,Counter,Brick Break,Dynamic Punch,Close Combat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,892,Urshifu-Rapid Strike,Rock Smash,Counter,Waterfall,Brick Break,Dynamic Punch,Close Combat,Aqua Jet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,892,Urshifu-Single Strike,Rock Smash,Counter,Sucker Punch,Brick Break,Dynamic Punch,Close Combat,Payback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,893,Zarude,Vine Whip,Bite,Power Whip,Energy Ball,Dark Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,894,Regieleki,Thunder Shock,Lock On,Thunderbolt,Thunder,Wild Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,895,Regidrago,Bite,Lock On,Dragon Claw,Outrage,Dragon Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,896,Glastrier,Tackle,Take Down,Avalanche,Icy Wind,Bulldoze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,897,Spectrier,Tackle,Take Down,Shadow Ball,Foul Play,Bulldoze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,898,Calyrex,Pound,Confusion,Psyshock,Psychic,Energy Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,898,Calyrex Ice Rider,Confusion,Take Down,Psyshock,Psychic,Energy Ball,Avalanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,898,Calyrex Rider,Confusion,Take Down,Psyshock,Psychic,Energy Ball,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,722,Rowlet,Razor Leaf,Tackle,Energy Ball,Seed Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,723,Dartrix,Peck,Razor Leaf,Brave Bird,Energy Ball,Seed Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,724,Decidueye,Astonish,Razor Leaf,Brave Bird,Energy Ball,Shadow Sneak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,725,Litten,Ember,Scratch,Crunch,Flame Charge,Flamethrower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,726,Torracat,Bite,Ember,Crunch,Flame Charge,Flamethrower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,727,Incineroar,Fire Fang,Snarl,Dark Pulse,Flame Charge,Fire Blast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,728,Popplio,Pound,Water Gun,Aqua Jet,Aqua Tail,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,729,Brionne,Charm,Water Gun,Aqua Jet,Disarming Voice,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,730,Primarina,Charm,Waterfall,Hydro Pump,Moonblast,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,731,Pikipek,Peck,Rock Smash,Aerial Ace,Drill Peck,Sky Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,732,Trumbeak,Peck,Rock Smash,Drill Peck,Rock Blast,Sky Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,733,Toucannon,Bullet Seed,Peck,Rock Smash,Drill Peck,Flash Cannon,Rock Blast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,734,Yungoos,Bite,Tackle,Crunch,Hyper Fang,Rock Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,735,Gumshoos,Bite,Take Down,Crunch,Hyper Fang,Rock Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,736,Grubbin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,737,Charjabug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,738,Vikavolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,739,Crabrawler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,740,Crabominable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,741,Oricorio,Air Slash,Pound,Aerial Ace,Air Cutter,Hurricane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,741,Oricorio-Pa'u,Air Slash,Pound,Aerial Ace,Air Cutter,Hurricane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,741,Oricorio-Pom-Pom,Air Slash,Pound,Aerial Ace,Air Cutter,Hurricane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,741,Oricorio-Sensu,Air Slash,Pound,Aerial Ace,Air Cutter,Hurricane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,742,Cutiefly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
